residence;age;gender;experience_level;working_culture;working_district;has_office;is_pegged;is_covid_gsd;is_health_gsd;is_economic_crisis_gsd;is_soft_skills_gsd;is_paying_structure_gsd;is_tools_gsd;is_from_company_gsd;computer_speed_gsd;is_network_speed_gsd;net_speed_gsd;is_ergonomics_gsd;is_training_gsd;is_work_pressure_gsd;is_distraction_gsd;is_tech_skill_gsd;is_language_gsd;is_time_gsd;salary_rate;technology_rate;temperature_rate;air_rate;light_rate;hydration_rate;workspace_rate;flexibility_rate;duration_rate;net_rate;is_control_gsd;is_culture_gsd;is_trust_gsd;is_distance_gsd;security_rate;is_knowledge_gsd;relationship_rate;outing_rate;leisure_rate;certificates_rate;knowledge_share_rate;productivity_rate;avg_loc;avg_story_points;code_fail_rate;extra_time_rate
9;24;2;3;1;4;2;2;2;1;1;2;1;1;2;4;1;3;1;2;2;1;1;2;2;5;3;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;4;4;5
24;26;2;3;3;6;2;2;2;2;2;2;1;2;1;3;1;5;2;2;1;1;2;2;1;3;2;5;2;5;5;5;5;5;5;1;1;1;2;5;1;5;5;5;1;5;5;5;5;2;2
9;25;2;3;1;7;2;2;2;1;1;2;2;2;1;4;2;4;2;2;2;1;1;2;2;2;2;2;2;3;2;2;3;2;2;2;1;2;2;2;2;2;5;5;3;3;2;2;5;5;5
13;25;2;1;2;11;2;2;2;2;2;2;1;2;1;4;2;3;2;2;2;2;2;2;2;3;3;1;1;1;1;1;1;1;1;2;2;2;2;1;2;3;4;4;1;1;3;4;2;5;3
5;26;2;4;1;4;2;2;1;1;2;2;1;2;2;5;2;4;2;2;2;2;2;2;2;2;5;2;5;5;3;2;5;5;5;2;2;2;2;5;2;5;5;3;5;5;5;5;5;2;2
21;24;1;3;3;4;2;2;2;1;2;2;2;2;2;3;2;3;2;2;2;1;2;1;2;2;5;5;5;5;5;5;5;2;2;2;2;1;2;5;2;5;2;2;2;5;2;2;3;5;5
9;24;2;4;3;7;2;2;1;1;1;2;2;2;2;4;2;4;2;2;2;1;2;2;1;3;2;2;2;2;2;2;3;1;5;1;1;2;2;2;2;2;2;2;2;2;5;5;5;2;2
9;28;2;1;2;7;2;2;1;1;1;1;1;1;1;5;1;5;1;1;1;1;1;1;1;2;5;2;2;2;5;2;5;5;5;1;1;2;1;5;2;2;3;2;4;2;3;4;3;3;3
22;24;2;4;2;20;2;2;2;1;1;2;2;2;1;5;2;4;2;2;2;1;1;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;4;1;3;3;3;4;3;4;3
1;26;2;4;1;4;2;2;1;1;1;2;1;2;2;4;2;2;2;2;2;1;2;1;1;3;3;3;2;3;3;2;3;3;3;1;1;1;1;3;2;3;3;3;3;3;4;3;1;1;1
