residence	age	gender	experience_level	working_culture	working_district	has_office	is_pegged	is_covid	is_health	is_economic_crisis	is_soft_skills	is_paying_structure	is_tools	is_from_company	computer_speed	is_network_speed	net_speed	is_ergonomics	is_training	is_work_pressure	is_distraction	is_tech_skill	salary_rate	technology_rate	temperature_rate	air_rate	light_rate	hydration_rate	workspace_rate	flexibility_rate	duration_rate	net_rate	security_rate	relationship_rate	outing_rate	leisure_rate	certificates_rate	knowledge_share_rate	productivity_rate	avg_loc	avg_story_points	code_fail_rate	extra_time_rate
1	3	5	3	3.0	1	5	1	5	1	5	5	1	1	1	3	5	2	1	1	1	1	5	3	2	2	2	2	2	2	2	2	3	2	5	3	3	3	2	2	4	3	5	4
22	3	1	3	1.0	4	5	1	5	1	5	5	1	1	5	3	5	3	1	5	5	5	5	3	2	5	5	5	5	5	5	5	5	5	5	3	3	3	5	3	4	3	5	5
1	3	5	1	5.0	4	1	1	1	1	1	5	5	5	5	5	1	5	5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	2	2
15	3	5	3	3.0	13	5	1	5	1	1	5	5	5	1	4	5	3	5	5	5	1	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	5	4
9	3	5	3	1.0	4	5	1	1	1	5	5	1	5	1	3	5	2	1	1	5	1	1	3	3	2	2	2	2	2	3	1	2	3	3	3	3	3	3	3	4	3	5	4
7	3	5	3	1.0	4	5	1	1	1	5	5	5	5	1	5	5	5	5	1	5	5	5	3	2	2	2	2	2	2	2	5	5	3	5	3	5	3	5	5	2	2	2	2
9	3	5	3	5.0	8	5	1	1	1	1	5	5	5	1	5	5	2	1	5	1	1	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	1	1	3
9	2	5	3	1.0	8	5	1	5	5	5	5	5	5	1	4	5	4	5	5	5	1	5	3	3	3	2	3	2	3	5	2	3	1	1	4	1	2	2	1	4	2	1	3
1	3	1	3	3.0	1	1	1	1	1	1	5	5	5	1	3	5	3	5	5	5	1	5	2	2	3	3	3	3	3	5	5	3	2	2	5	5	5	5	2	4	2	4	5
9	4	5	4	1.0	8	5	1	5	5	5	5	1	1	1	3	5	3	5	5	5	5	5	3	3	2	3	3	3	2	2	3	2	3	5	1	1	3	2	1	3	1	3	3
9	3	5	3	1.0	8	5	1	1	1	5	1	5	5	1	4	5	4	5	5	5	5	5	4	1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	4	1	1	1	1
5	3	5	4	1.0	4	5	1	5	5	1	1	1	5	5	5	5	3	5	5	5	5	5	2	2	2	2	5	5	1	2	3	1	2	2	3	3	2	2	3	4	3	5	4
9	3	5	3	1.0	4	5	1	5	1	5	5	1	5	5	3	5	2	5	5	5	5	5	3	2	3	2	5	5	2	3	3	1	2	3	1	3	1	3	4	4	2	1	3
25	4	1	1	3.0	19	5	1	1	5	5	5	5	5	5	4	5	4	5	5	5	5	5	1	3	3	3	2	2	4	3	4	2	3	1	4	4	4	4	1	4	2	3	1
19	3	5	3	1.0	4	5	1	5	1	5	5	5	5	1	3	5	4	5	5	5	1	5	3	2	3	3	2	2	2	2	3	2	2	2	2	2	3	2	3	4	2	3	4
7	4	5	1	3.0	6	5	1	1	5	1	5	1	5	5	4	5	3	5	1	5	1	5	1	3	3	3	3	3	1	2	2	3	3	2	4	4	1	3	1	4	3	1	3
15	3	5	4	5.0	6	5	1	5	1	5	5	1	5	5	3	5	3	5	1	5	1	5	3	2	2	2	2	3	2	2	2	3	2	2	3	3	3	3	4	3	1	1	1
17	4	1	3	5.0	4	5	1	5	1	5	5	5	5	5	1	5	3	5	5	5	1	5	1	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	4	3	4	4
9	3	1	3	3.0	8	5	1	1	1	1	1	1	5	5	4	5	3	1	1	1	1	5	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	5
5	3	5	3	1.0	4	5	1	5	1	5	5	5	5	5	5	5	5	5	1	5	5	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	1	1	1	1
16	3	5	3	1.0	14	5	1	1	1	5	5	1	5	1	4	5	4	5	5	5	1	5	4	3	2	2	2	2	2	2	2	2	2	3	1	3	4	4	4	1	1	1	1
20	3	1	3	5.0	4	5	1	5	5	5	5	1	5	5	3	5	3	5	5	5	5	5	3	2	2	2	3	3	3	3	1	3	2	2	3	3	1	1	1	3	1	3	1
5	4	5	2	1.0	4	5	1	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	2	2	2	2	2	2	2	2	3	2	2	2	3	3	1	1	1	3	1	3	1
5	3	5	1	5.0	4	5	1	1	1	1	5	1	5	5	5	5	5	5	1	5	1	5	3	2	2	2	3	3	5	5	5	5	5	5	3	2	3	3	3	4	3	4	5
4	3	1	3	1.0	4	5	1	5	1	5	5	5	5	1	4	5	4	5	5	5	1	5	1	2	3	2	5	2	2	2	2	2	2	2	2	5	1	5	1	3	2	1	3
9	4	5	4	3.0	8	5	1	1	1	5	5	1	5	5	5	5	3	1	1	5	1	5	2	2	5	5	5	5	2	5	5	3	5	5	5	5	3	5	3	4	2	3	4
5	4	5	4	1.0	4	5	1	1	1	1	1	1	5	5	3	5	3	5	5	5	5	1	3	3	2	2	3	2	2	5	2	3	2	5	3	2	5	2	3	2	4	5	4
1	4	5	4	1.0	4	5	1	1	1	5	5	1	5	1	4	5	3	5	5	5	5	5	2	2	3	3	2	2	2	2	2	2	2	2	3	3	4	3	3	2	4	3	5
9	3	5	3	5.0	4	5	1	5	1	5	5	5	5	5	4	5	3	5	5	5	5	5	3	3	3	3	1	3	1	3	2	4	1	4	1	5	4	4	4	1	1	3	1
9	4	5	3	5.0	8	5	1	1	1	1	5	1	5	1	4	5	3	1	1	1	1	5	3	2	2	2	2	2	2	5	2	2	2	5	2	2	1	3	1	1	1	3	1
5	2	5	4	1.0	4	5	1	1	1	5	5	5	5	1	4	5	1	5	5	5	1	5	3	2	2	2	5	5	5	5	5	5	2	5	5	5	3	5	2	2	3	4	5
