ID,Start time,Completion time,Email,Name,What is your district of residence?,What is your age?,What's your gender?,What is your current industry experience Level? ,What is your Working Culture?,Select your working district,What is your Role in your company?,Does your Company have a Sri Lankan office?,Is your company salary pegged?,Do you have any working experience in Global Software Development?,Are the Consequences of COVID-19 affect your Productivity in global Software Development?,What are the Productivity affecting issues you faced during the COVID-19 time?,How did you maintain your Productivity at a good level during the COVID-19 time?,Is Health-related problems affect your Productivity in Global Software Development?,What are the health issues you face regularly?,Are the Consequences of Sri Lanka’s economic crisis affect your Productivity in Global Software Development?,What are the Productivity affecting issues you are facing during this Sri Lanka’s economic crisis Period?,How do you maintain your Productivity during this Sri Lanka’s economic crisis time?,Is your lack of Individual Soft skills affect your Productivity in global Software Development?,What are the soft skills you think that can support and increase your Productivity?,Is your low Paying Structure affect your Productivity in global Software Development?,Are your slowest Equipment or Tools (Gadgets) increase your Productivity in global Software Development?,Are the Tools (equipment or gadgets) provided by your Company?,Rate your computer speed.,Is your slow Network Quality affect your Productivity in global Software Development?,What type of network provider are you using for your work?,Rate the Internet speed.,"Is your distractive Workplace Ergonomics affect your Productivity in global Software Development?
(If you are working from your home please consider your home is your workplace)
",Are poor Training & Career Development Opportunities affect your Productivity in global Software Development?,Is your Work Pressure affect your Productivity in global Software Development?,Does Distraction at the workplace affect your Productivity in global Software Development?,What kind of Distractions Do you have in your workplace?,Is lack of Technical Skills in New Technologies affect your Productivity in global Software Development?,How do you maintain your productivity without familiarity in new technologies?,Language issues,Lack of Management of time Difference,Please Mention any other factors except the above (If you have any)?,Are the Consequences of COVID-19 affect your Productivity in Software Development Process?,What are the Productivity affecting issues you faced during the COVID-19 time?2,How did you maintain your Productivity at a good level during the COVID-19 time?2,Is Health-related problems affect your Productivity in Software Development Process?,What are the health issues you face regularly?2,Are the Consequences of Sri Lanka’s economic crisis affect your Productivity in Software Development Process?,What are the Productivity affecting issues you are facing during this Sri Lanka’s economic crisis Period?2,How do you maintain your Productivity during this Sri Lanka’s economic crisis time?2,Is your lack of Individual Soft skills affect your Productivity in software Development process?,What are the soft skills you think that can support and increase your Productivity?2,Is your low Paying Structure affect your Productivity in Software Development Process?,Are your slowest Equipment or Tools (Gadgets) increase your Productivity in Software Development Process?,Are the Tools (equipment or gadgets) provided by your Company?2,Rate your computer speed.2,Is your low Network Quality affect your Productivity in Software Development process?,What type of network provider are you using for your work?2,Rate the Internet speed.2,"Is your distractive Workplace Ergonomics affect your Productivity in Software Development process? 
(If you are working from your home please consider your home is your workplace)",Are your poor Training & Career Development Opportunities affect your Productivity in Software Development Process?,Is your Work Pressure affect your Productivity in Software Development Process?,Does Distraction at the workplace affect your Productivity in Software Development process?,What kind of Distraction Do you have in your workplace?,Is lack of Technical Skills in New Technologies affect your Productivity in Software Development process?,How do you maintain your productivity without familiarity in new technologies?2,Please Mention any other factors except the above (If you have any)?2,Monthly Salary,Technology Platform,Temperature at the workplace,Air Quality at the workplace,Lighting at the workplace,Hydration Level at the Workplace,Working Space Layout and Design,Flexibility level at workplace,Duration of the software project,Network Quality at workplace,Lack of Control,Lack of culture understanding in teams,Lack of trust,Geographical Distance,Job Security,Lack of Knowledge management and transfer among teams,Relationship with Colleagues and Senior employees,Outing with staffs,Leisure-time activities,Arrange some Free Certifacate Courses,Knowledge Sharing Sessions,Rate your own individual productivity level (from your own perspective).,What is your average line of code per day?,How many average story points do you burn in one day?,How often does your code fail in the testing phase?,How often do you take extra time to complete your tasks?
2,10/22/2022 16:08,10/22/2022 16:13,anonymous,,Jaffna,24,Male,Internship,Hybrid,Colombo,Software developer,Yes,Yes,Yes,Yes,meetings held in online,,No,,No,,I earn my salary in USD,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,No,No,Yes,4,No,Dialog,3,No,Yes,Yes,No,,No,we are doing Traditional Software,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Good,Neutral,Good,Good,Good,Good,Good,Very Good,Good,Good,Yes,Yes,Yes,Yes,Good,Yes,Good,Good,Good,Neutral,Good,Good,101-200 lines,5 points,Rarely,Sometimes
3,10/22/2022 20:48,10/22/2022 21:00,anonymous,,Ampara,25,Male,Internship,Work from Home,,Business Analyst,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Physical working experience with developers and clients ,,No,,Yes,Due to the continuous power cut following economic crisis virtual meeting sometimes missed ,,Yes,Adaptability Skills;,No,No,No,3,Yes,Dialog,2,No,No,No,No,,Yes,,Academic pressure during the internship period ,Neutral,Good,Good,Good,Good,Good,Good,Good,Good,Neutral,,,,,Good,,Very Good,Neutral,Neutral,Neutral,Good,Good,51-100 lines,3 points,Sometimes,Rarely
4,10/22/2022 21:10,10/22/2022 21:28,anonymous,,Vavuniya,26,Male,Internship,Work from Office,Gampaha,Business Analyst,Yes,Yes,Yes,Yes,"Travelling issues, health safety issues, time management issues",,Yes,During the covid 19 spread of viruses,Yes,Amount of work reduced and particular time work overloaded,,Yes,Communication Skills;Teamwork Skills;Interpersonal Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,No,Yes,No,3,No,Company WIFI,5,Yes,Yes,No,No,,Yes,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Very Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No,No,No,Yes,Very Good,No,Very Good,Very Good,Very Good,Bad,Very Good,Very Good,above 200 lines,above 5 points,Never,Never
5,10/23/2022 0:31,10/23/2022 0:41,anonymous,,Puttalam,24,Female,Internship,Hybrid,Colombo,Business Analyst,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Lack of grabbing physical experience ,,No,,Yes,Transportation ,,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Work Ethic;,No,No,Yes,3,Yes,Hutch,3,No,Yes,Yes,Yes,Inadaptability since this is the first time to corporste world,Yes,,None,Neutral,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,,,,,Very Good,,Very Good,Neutral,Neutral,Neutral,Very Good,Neutral,51-100 lines,3 points,Sometimes,Sometimes
6,10/23/2022 2:57,10/23/2022 3:02,anonymous,,Ampara,25,Male,2 to 4 years,Work from Office,Colombo,Computer Support Engineer,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Work from home ,No,,No,,Nothing problems happened ,Yes,Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Communication Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;Work Ethic;Adaptability Skills;,Yes,Yes,Yes,5,No,SLTMobitel,5,Yes,Yes,Yes,No,,Yes,,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,,,,,Very Good,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,above 200 lines,above 5 points,Never,Never
7,10/23/2022 7:47,10/23/2022 7:56,anonymous,,Mannar,24,Male,Internship,Work from Home,,Software Developer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Communication ,,No,,No,,Working Remotely ,Yes,Communication Skills;Teamwork Skills;Leadership Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,Yes,Yes,No,4,Yes,Dialog,3,Yes,Yes,Yes,No,,Yes,,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,Good,,Good,Good,Good,Good,Good,Good,101-200 lines,3 points,Sometimes,Rarely
8,10/23/2022 10:10,10/23/2022 10:15,anonymous,,Jaffna,25,Male,Internship,Hybrid,Jaffna,Business Analyst,Yes,Yes,Yes,Yes,"Time management
Quality",,No,,No,,-----,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,Yes,Yes,No,4,Yes,SLTMobitel,4,Yes,Yes,Yes,No,,No,By learning from mates,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Neutral,Good,Good,Neutral,Good,Good,Yes,No,Yes,Yes,Good,Yes,Good,Very Good,Very Good,Neutral,Neutral,Good,101-200 lines,above 5 points,Sometimes,Sometimes
9,10/23/2022 10:18,10/23/2022 10:29,anonymous,,Jaffna,24,Male,Internship,Hybrid,Colombo,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Doing some online studies and works,No,,Yes,Not finding good hardware devices.,,Yes,Communication Skills;Teamwork Skills;Leadership Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,No,Yes,No,3,Yes,SLTMobitel,2,No,No,Yes,No,,No,From referring official documentation and Discuss with knowledgeable peoples.,,Neutral,Neutral,Good,Good,Good,Good,Good,Neutral,Bad,Good,,,,,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,51-100 lines,3 points,Sometimes,Rarely
10,10/23/2022 10:25,10/23/2022 10:42,anonymous,,Kilinochchi,25,Male,2 to 4 years,Work from Home,,Software Engineer,Yes,Yes,Yes,Yes,Office meetings and asking help and get response quickly is missing after covid,,Yes,Neck and back pain,Yes,We have to waiting in a Q for purchase essential items instead of working,,Yes,Communication Skills;Interpersonal Skills;,No,Yes,No,4,Yes,SLTMobitel,3,Yes,Yes,Yes,Yes,Family issues,Yes,,Yes,Yes,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Yes,Yes,Yes,Yes,Bad,Yes,Neutral,Very Bad,Very Bad,Bad,Bad,Neutral,51-100 lines,2 points,Sometimes,Often
11,10/23/2022 10:56,10/23/2022 11:02,anonymous,,Colombo,26,Male,Less than 2 years,Hybrid,Colombo,Software Engineer,Yes,Yes,Yes,No,,"Wear mask, and follow the instructions given by the government ",No,,Yes,"Buying new items like monitors, keyboards, chairs like items which affect to gain our productivity ",,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Critical Thinking Skills;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;Challenge acceptance ability ;,No,Yes,Yes,5,Yes,Dialog,4,Yes,Yes,Yes,Yes,Talking while coding,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Very Good,Good,Very Good,Very Good,Neutral,Good,Very Good,Very Good,Very Good,Yes,Yes,Yes,Yes,Very Good,Yes,Very Good,Very Good,Neutral,Very Good,Very Good,Very Good,above 200 lines,above 5 points,Never,Never
