residence;age;gender;experience_level;working_culture;working_district;has_office;is_pegged;is_covid;is_health;is_economic_crisis;is_soft_skills;is_paying_structure;is_tools;is_from_company;computer_speed;is_network_speed;net_speed;is_ergonomics;is_training;is_work_pressure;is_distraction;is_tech_skill;salary_rate;technology_rate;temperature_rate;air_rate;light_rate;hydration_rate;workspace_rate;flexibility_rate;duration_rate;net_rate;security_rate;relationship_rate;outing_rate;leisure_rate;certificates_rate;knowledge_share_rate;productivity_rate;avg_loc;avg_story_points;code_fail_rate;extra_time_rate
1;25;2;3;2;1;2;1;2;1;2;2;1;1;1;3;2;2;1;1;1;1;2;3;2;2;2;2;2;2;2;2;3;2;5;3;3;3;2;2;4;3;5;4
22;24;1;3;1;4;2;1;2;1;2;2;1;1;2;3;2;3;1;2;2;2;2;3;2;5;5;5;5;5;5;5;5;5;5;3;3;3;5;3;4;3;5;5
1;25;2;1;3;4;1;1;1;1;1;2;2;2;2;5;1;5;2;2;2;1;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;2;2
15;24;2;3;2;13;2;1;2;1;1;2;2;2;1;4;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;5;4
9;24;2;3;1;4;2;1;1;1;2;2;1;2;1;3;2;2;1;1;2;1;1;3;3;2;2;2;2;2;3;1;2;3;3;3;3;3;3;3;4;3;5;4
7;25;2;3;1;4;2;1;1;1;2;2;2;2;1;5;2;5;2;1;2;2;2;3;2;2;2;2;2;2;2;5;5;3;5;3;5;3;5;5;2;2;2;2
9;24;2;3;3;8;2;1;1;1;1;2;2;2;1;5;2;2;1;2;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;1;1;3
9;20;2;3;1;8;2;1;2;2;2;2;2;2;1;4;2;4;2;2;2;1;2;3;3;3;2;3;2;3;5;2;3;1;1;4;1;2;2;1;4;2;1;3
1;25;1;3;2;1;1;1;1;1;1;2;2;2;1;3;2;3;2;2;2;1;2;2;2;3;3;3;3;3;5;5;3;2;2;5;5;5;5;2;4;2;4;5
9;26;2;4;1;8;2;1;2;2;2;2;1;1;1;3;2;3;2;2;2;2;2;3;3;2;3;3;3;2;2;3;2;3;5;1;1;3;2;1;3;1;3;3
